Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 26.683711, 507, 0, 26.942228
1, 500, 26.917317, 496, 0, 21.188635
2, 500, 26.881456, 470, 0, 17.493415
3, 500, 26.716175, 458, 0, 15.494189
4, 500, 26.619351, 455, 0, 15.072960
5, 500, 26.809542, 430, 0, 14.518762
6, 500, 26.694278, 429, 0, 14.201300
7, 500, 26.647754, 426, 0, 14.130498
8, 500, 26.662127, 419, 0, 13.957156
9, 500, 26.777544, 413, 0, 14.318567
10, 500, 26.814714, 390, 0, 14.289132
11, 500, 27.060566, 413, 0, 14.504651
12, 500, 26.892454, 393, 0, 14.319020
13, 500, 26.906683, 385, 0, 14.148798
14, 500, 26.722818, 374, 0, 14.685332
15, 500, 26.700874, 389, 0, 14.377730
16, 500, 26.809768, 369, 0, 14.043805
17, 500, 26.876461, 385, 0, 13.680930
18, 500, 26.779251, 379, 0, 14.345346
19, 500, 26.781417, 360, 0, 14.269653
20, 500, 26.871057, 368, 0, 13.537402
21, 500, 26.679380, 361, 0, 13.556334
22, 500, 26.724129, 358, 0, 13.520533
23, 500, 26.692039, 359, 0, 13.660514
24, 500, 26.690932, 351, 0, 14.417435
25, 500, 26.737398, 338, 0, 14.163771
26, 500, 26.665299, 340, 0, 13.836333
27, 500, 26.681574, 347, 0, 14.426311
28, 500, 26.743259, 345, 0, 14.840500
29, 500, 26.723423, 324, 0, 14.075392
30, 500, 26.828123, 346, 0, 14.440469
31, 500, 26.675618, 335, 0, 14.164470
32, 500, 26.695555, 370, 0, 14.322616
33, 500, 26.763574, 314, 0, 14.889662
34, 500, 26.846674, 325, 0, 14.343413
35, 500, 26.791177, 333, 0, 13.894972
36, 500, 26.806924, 331, 0, 14.004575
37, 500, 26.734854, 327, 0, 14.309139
38, 500, 26.694893, 317, 0, 14.467368
39, 500, 26.671437, 328, 0, 14.717189
40, 500, 26.776122, 329, 0, 14.237545
41, 500, 26.796095, 321, 0, 14.226558
42, 500, 26.879355, 321, 0, 14.298902
43, 500, 26.960326, 316, 0, 14.306289
44, 500, 26.729693, 319, 0, 14.124956
45, 500, 26.818977, 325, 0, 14.172739
46, 500, 26.863815, 333, 0, 13.851390
47, 500, 26.849314, 307, 0, 13.939762
48, 500, 26.819786, 326, 0, 13.661479
49, 500, 26.891265, 372, 0, 14.096361
50, 500, 26.846211, 321, 0, 14.392543
51, 500, 26.607559, 308, 0, 14.693629
52, 500, 26.755666, , 1, 14.423339
