Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 0.773134, 672, 0, 0.000000
1, 500, 0.783342, 660, 0, 0.000000
2, 500, 0.551689, 646, 0, 0.000000
3, 501, 0.381693, 703, 0, 0.000000
4, 502, 0.394822, 792, 0, 0.000000
5, 503, 0.425113, 666, 0, 0.000000
6, 503, 0.389220, 685, 0, 0.000000
7, 503, 0.387456, 749, 0, 0.000000
8, 503, 0.361539, 697, 0, 0.000000
9, 503, 0.388709, 723, 0, 0.000000
10, 503, 0.403064, 770, 0, 0.000000
11, 503, 0.430551, 841, 0, 0.000000
12, 503, 0.416898, 751, 0, 0.000000
13, 504, 0.417718, 814, 0, 0.000000
14, 504, 0.410259, 713, 0, 0.000000
15, 504, 0.395791, 795, 0, 0.000000
16, 504, 0.401302, 876, 0, 0.000000
17, 504, 0.386098, 890, 0, 0.000000
18, 504, 0.419187, 828, 0, 0.000000
19, 505, 0.390614, 1182, 0, 0.000000
20, 506, 0.381106, 851, 0, 0.000000
21, 506, 0.394219, 887, 0, 0.000000
22, 506, 0.378933, 925, 0, 0.000000
23, 507, 0.359617, 1025, 0, 0.000000
24, 508, 0.382904, 1064, 0, 0.000000
25, 509, 0.367381, 1277, 0, 0.000000
26, 510, 0.360984, 987, 0, 0.000000
27, 511, 0.367553, 1087, 0, 0.000000
28, 512, 0.355321, 1068, 0, 0.000000
29, 513, 0.347991, 1142, 0, 0.000000
30, 513, 0.356105, 1004, 0, 0.000000
31, 513, 0.346388, 960, 0, 0.000000
32, 514, 0.372479, 1010, 0, 0.000000
33, 515, 0.367440, 993, 0, 0.000000
34, 515, 0.367798, 1071, 0, 0.000000
35, 516, 0.355334, 1087, 0, 0.000000
36, 516, 0.337605, 1051, 0, 0.000000
37, 516, 0.346686, 1169, 0, 0.000000
38, 516, 0.341136, 1039, 0, 0.000000
39, 516, 0.367770, 1041, 0, 0.000000
40, 517, 0.354365, 1098, 0, 0.000000
41, 517, 0.332581, 1155, 0, 0.000000
42, 517, 0.302424, 1075, 0, 0.000000
43, 517, 0.329613, 1136, 0, 0.000000
44, 517, 0.347188, 1282, 0, 0.000000
45, 518, 0.319621, 1272, 0, 0.000000
46, 518, 0.325915, 1228, 0, 0.000000
47, 518, 0.348376, 1240, 0, 0.000000
48, 518, 0.331681, 1295, 0, 0.000000
49, 518, 0.306457, 1175, 0, 0.000000
50, 519, 0.343528, 1341, 0, 0.000000
51, 520, 0.322304, 1290, 0, 0.000000
52, 521, 0.333117, 1313, 0, 0.000000
53, 522, 0.322384, 1415, 0, 0.000000
54, 522, 0.314705, 1334, 0, 0.000000
55, 522, 0.338416, 1348, 0, 0.000000
56, 523, 0.321626, 1514, 0, 0.000000
57, 523, 0.305776, 1409, 0, 0.000000
58, 523, 0.317762, 1332, 0, 0.000000
59, 524, 0.325018, 1470, 0, 0.000000
60, 525, 0.301378, 1430, 0, 0.000000
61, 525, 0.318453, 1389, 0, 0.000000
62, 526, 0.306560, 1465, 0, 0.000000
63, 526, 0.323364, 1386, 0, 0.000000
64, 527, 0.317336, 1343, 0, 0.000000
65, 527, 0.331995, 1482, 0, 0.000000
66, 528, 0.300345, 1447, 0, 0.000000
67, 529, 0.304339, 1276, 0, 0.000000
68, 530, 0.322445, 1500, 0, 0.000000
69, 531, 0.310550, 1465, 0, 0.000000
70, 531, 0.325160, 1380, 0, 0.000000
71, 532, 0.336097, 1431, 0, 0.000000
72, 533, 0.329138, 1495, 0, 0.000000
73, 534, 0.300419, 1516, 0, 0.000000
74, 534, 0.314899, 1443, 0, 0.000000
75, 534, 0.315048, 1443, 0, 0.000000
76, 534, 0.316113, 1495, 0, 0.000000
77, 534, 0.300008, 1483, 0, 0.000000
78, 534, 0.313332, 1515, 0, 0.000000
79, 534, 0.311594, 1448, 0, 0.000000
80, 535, 0.305004, 1515, 0, 0.000000
81, 536, 0.311253, 1451, 0, 0.000000
82, 537, 0.315035, 1472, 0, 0.000000
83, 537, 0.321522, 1346, 0, 0.000000
84, 538, 0.327333, 1427, 0, 0.000000
85, 539, 0.320648, 1360, 0, 0.000000
86, 540, 0.313061, 1392, 0, 0.000000
87, 540, 0.312930, 1501, 0, 0.000000
88, 540, 0.308333, 1458, 0, 0.000000
89, 541, 0.325970, 1239, 0, 0.000000
90, 541, 0.315906, 1415, 0, 0.000000
91, 541, 0.309125, 1357, 0, 0.000000
92, 542, 0.317126, 1321, 0, 0.000000
93, 543, 0.331514, 1371, 0, 0.000000
94, 544, 0.291330, 1376, 0, 0.000000
95, 544, 0.327127, 1526, 0, 0.000000
96, 544, 0.315533, 1386, 0, 0.000000
97, 544, 0.327034, 1423, 0, 0.000000
98, 545, 0.307489, 1592, 0, 0.000000
99, 545, 0.307717, 1226, 0, 0.000000
100, 546, 0.329332, 1366, 0, 0.000000
101, 547, 0.304163, 1291, 0, 0.000000
102, 548, 0.328109, 1346, 0, 0.000000
103, 548, 0.306420, 1400, 0, 0.000000
104, 548, 0.319736, 1318, 0, 0.000000
