Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found
0, 500, 0.383181, 342, 0
1, 501, 0.626669, 355, 0
2, 502, 0.542967, 295, 0
3, 502, 0.513640, 317, 0
4, 502, 0.490461, 275, 0
5, 502, 0.449318, 283, 0
6, 503, 0.524090, 273, 0
7, 504, 0.534190, 366, 0
8, 504, 0.581329, 402, 0
9, 505, 0.524501, 326, 0
10, 505, 0.422664, 391, 0
11, 506, 0.363954, 459, 0
12, 507, 0.386435, 515, 0
13, 507, 0.305472, 438, 0
14, 507, 0.367225, 535, 0
15, 508, 0.349172, 505, 0
16, 508, 0.347087, 513, 0
17, 508, 0.332485, 499, 0
18, 508, 0.355183, 470, 0
19, 508, 0.372227, 431, 0
20, 509, 0.289779, 382, 0
21, 509, 0.339392, 429, 0
22, 509, 0.328713, 467, 0
23, 510, 0.353498, 448, 0
24, 511, 0.324118, 481, 0
25, 511, 0.344987, 418, 0
26, 512, 0.352386, 497, 0
27, 513, 0.305236, 519, 0
28, 513, 0.342083, 520, 0
29, 514, 0.359203, 524, 0
30, 514, 0.366572, 529, 0
31, 514, 0.335075, 528, 0
32, 514, 0.347828, 518, 0
33, 514, 0.332172, 525, 0
34, 515, 0.340806, 514, 0
35, 516, 0.340627, 500, 0
36, 517, 0.338456, 556, 0
37, 518, 0.367261, 543, 0
38, 519, 0.340007, 549, 0
39, 520, 0.332721, 539, 0
40, 521, 0.326349, 500, 0
41, 521, 0.318734, 522, 0
42, 521, 0.296352, 538, 0
43, 522, 0.309480, 541, 0
44, 523, 0.278100, 548, 0
45, 523, 0.295530, 558, 0
46, 523, 0.284921, 558, 0
47, 523, 0.275879, 541, 0
48, 524, 0.235127, 535, 0
49, 524, 0.263637, 535, 0
50, 525, 0.241291, 529, 0
51, 525, 0.228293, 510, 0
52, 526, 0.197521, 506, 0
53, 527, 0.198828, 510, 0
54, 528, 0.236270, 492, 0
55, 529, 0.206177, 524, 0
56, 529, 0.206304, 520, 0
57, 529, 0.223544, 513, 0
58, 529, 0.203416, 526, 0
59, 529, 0.210804, 536, 0
60, 529, 0.206822, 526, 0
61, 529, 0.202329, 521, 0
62, 529, 0.220410, 530, 0
63, 530, 0.190120, 537, 0
64, 531, 0.210310, 543, 0
65, 531, 0.205041, 537, 0
66, 531, 0.195862, 547, 0
67, 531, 0.203544, 553, 0
68, 531, 0.199714, 561, 0
69, 531, 0.198017, 588, 0
70, 531, 0.195416, 579, 0
71, 531, 0.188598, 598, 0
72, 531, 0.188168, 603, 0
73, 531, 0.202043, 615, 0
74, 532, 0.191308, 629, 0
75, 532, 0.176802, 644, 0
76, 533, 0.161784, 651, 0
77, 533, 0.177427, 667, 0
78, 533, 0.179264, 676, 0
79, 533, 0.172987, 681, 0
80, 533, 0.165495, 673, 0
81, 533, 0.179789, 683, 0
82, 533, 0.171840, 708, 0
83, 533, 0.176726, 704, 0
84, 534, 0.167421, 694, 0
85, 534, 0.181393, 695, 0
86, 534, 0.162758, 697, 0
87, 534, 0.171183, 689, 0
88, 535, 0.165714, 698, 0
89, 536, 0.179854, 709, 0
90, 537, 0.163464, 711, 0
91, 537, 0.170371, 693, 0
92, 537, 0.177278, 711, 0
93, 537, 0.178758, 676, 0
94, 537, 0.181290, 673, 0
95, 537, 0.177897, 663, 0
96, 538, 0.202870, 671, 0
97, 538, 0.184978, 667, 0
98, 538, 0.198490, 659, 0
99, 539, 0.184104, 652, 0
100, 539, 0.189130, 655, 0
101, 540, 0.192621, 654, 0
102, 541, 0.186194, 665, 0
103, 541, 0.190247, 677, 0
104, 541, 0.202013, 664, 0
105, 542, 0.183820, 670, 0
106, 542, 0.191514, 676, 0
107, 543, 0.188999, 686, 0
108, 543, 0.184612, 680, 0
109, 544, 0.172990, 683, 0
110, 545, 0.174843, 690, 0
111, 546, 0.182946, 696, 0
112, 546, 0.182699, 694, 0
113, 547, 0.177488, 704, 0
114, 548, 0.179892, 722, 0
115, 548, 0.182014, 716, 0
116, 548, 0.185996, 720, 0
117, 549, 0.186637, 724, 0
118, 550, 0.176415, 718, 0
119, 551, 0.171320, 721, 0
120, 552, 0.187551, 731, 0
121, 553, 0.170941, 732, 0
122, 554, 0.176727, 741, 0
123, 555, 0.198601, 736, 0
124, 555, 0.173192, 732, 0
125, 555, 0.179070, 727, 0
126, 556, 0.182720, 710, 0
127, 557, 0.187245, 709, 0
128, 558, 0.174089, 705, 0
129, 558, 0.195434, 711, 0
130, 558, 0.170647, 711, 0
131, 559, 0.165670, 719, 0
132, 559, 0.167511, 714, 0
133, 560, 0.195475, 711, 0
134, 561, 0.203017, 708, 0
135, 562, 0.187995, 710, 0
136, 563, 0.184340, 719, 0
137, 563, 0.179827, 710, 0
138, 563, 0.204787, 706, 0
139, 563, 0.184099, 718, 0
140, 564, 0.173506, 732, 0
141, 564, 0.158646, 725, 0
142, 565, 0.147525, 729, 0
143, 565, 0.144972, 719, 0
144, 565, 0.144790, 724, 0
145, 565, 0.148674, 719, 0
146, 565, 0.156672, 732, 0
147, 565, 0.153673, 755, 0
148, 565, 0.153309, 784, 0
149, 565, 0.148625, 790, 0
150, 566, 0.148047, 799, 0
151, 566, 0.139551, 807, 0
152, 566, 0.130987, 822, 0
153, 567, 0.122818, 819, 0
154, 568, 0.149912, 832, 0
155, 568, 0.143851, 820, 0
156, 568, 0.132394, 817, 0
157, 568, 0.134680, 832, 0
158, 569, 0.158234, 824, 0
159, 569, 0.139115, , 1
