Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 0.244977, 379, 0, 0.000000
1, 501, 0.551102, 390, 0, 0.000000
2, 501, 0.416717, 335, 0, 0.000000
3, 502, 0.337838, 359, 0, 0.000000
4, 503, 0.281778, 353, 0, 0.000000
5, 504, 0.294253, 377, 0, 0.000000
6, 504, 0.292451, 396, 0, 0.000000
7, 504, 0.292351, 339, 0, 0.000000
8, 505, 0.298882, 414, 0, 0.000000
9, 505, 0.296481, 355, 0, 0.000000
10, 505, 0.308258, 353, 0, 0.000000
11, 505, 0.306387, 519, 0, 0.000000
12, 506, 0.315590, 370, 0, 0.000000
13, 506, 0.305285, 425, 0, 0.000000
14, 506, 0.314559, 417, 0, 0.000000
15, 506, 0.316029, 421, 0, 0.000000
16, 506, 0.321277, 428, 0, 0.000000
17, 507, 0.287122, 375, 0, 0.000000
18, 508, 0.298116, 383, 0, 0.000000
19, 509, 0.286738, 414, 0, 0.000000
20, 510, 0.286126, 374, 0, 0.000000
21, 510, 0.300521, 385, 0, 0.000000
22, 511, 0.304698, 459, 0, 0.000000
23, 511, 0.308260, 316, 0, 0.000000
24, 512, 0.322549, 329, 0, 0.000000
25, 513, 0.309830, 438, 0, 0.000000
26, 513, 0.325737, 322, 0, 0.000000
27, 514, 0.387584, 357, 0, 0.000000
28, 514, 0.522196, 421, 0, 0.000000
29, 514, 0.512363, 332, 0, 0.000000
30, 514, 0.467394, 435, 0, 0.000000
31, 514, 0.392092, 364, 0, 0.000000
32, 514, 0.261706, 312, 0, 0.000000
33, 514, 0.266328, 417, 0, 0.000000
34, 514, 0.243153, 324, 0, 0.000000
35, 515, 0.266422, 374, 0, 0.000000
36, 515, 0.199581, 401, 0, 0.000000
37, 516, 0.184225, 314, 0, 0.000000
38, 517, 0.159363, 383, 0, 0.000000
39, 518, 0.172346, 357, 0, 0.000000
40, 518, 0.170137, 326, 0, 0.000000
41, 519, 0.173575, 375, 0, 0.000000
42, 520, 0.171489, 417, 0, 0.000000
43, 520, 0.158533, 399, 0, 0.000000
44, 521, 0.169284, 481, 0, 0.000000
45, 521, 0.233960, 354, 0, 0.000000
46, 522, 0.157341, 391, 0, 0.000000
47, 522, 0.165020, 447, 0, 0.000000
48, 523, 0.152543, 397, 0, 0.000000
49, 524, 0.163835, 434, 0, 0.000000
50, 524, 0.160406, 423, 0, 0.000000
51, 524, 0.156366, 403, 0, 0.000000
52, 524, 0.217062, 427, 0, 0.000000
53, 524, 0.136802, 422, 0, 0.000000
54, 525, 0.186128, 444, 0, 0.000000
55, 526, 0.149846, 473, 0, 0.000000
56, 526, 0.184725, 472, 0, 0.000000
57, 526, 0.155235, , 1, 0.000000
