Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found
0, 500, 0.000000, 496, 0
1, 500, 0.000000, 601, 0
2, 501, 0.000000, 481, 0
3, 501, 0.000000, 461, 0
4, 501, 0.000000, 419, 0
5, 502, 0.000000, 493, 0
6, 503, 0.000000, 451, 0
7, 504, 0.000000, 441, 0
8, 504, 0.000000, 498, 0
9, 504, 0.000000, 426, 0
10, 504, 0.000000, 462, 0
11, 504, 0.000000, 500, 0
12, 504, 0.000000, 529, 0
13, 504, 0.000000, 564, 0
14, 504, 0.000000, 447, 0
15, 504, 0.000000, 505, 0
16, 504, 0.000000, 604, 0
17, 505, 0.000000, 500, 0
18, 505, 0.000000, 573, 0
19, 505, 0.000000, 551, 0
20, 506, 0.000000, 427, 0
21, 506, 0.000000, 666, 0
22, 507, 0.000000, 439, 0
23, 508, 0.000000, 467, 0
24, 509, 0.000000, 594, 0
25, 510, 0.000000, 577, 0
26, 510, 0.000000, 525, 0
27, 510, 0.000000, 556, 0
28, 511, 0.000000, 533, 0
29, 511, 0.000000, 433, 0
30, 511, 0.000000, 684, 0
31, 511, 0.000000, 565, 0
32, 511, 0.000000, 482, 0
33, 512, 0.000000, 566, 0
34, 513, 0.000000, 604, 0
35, 514, 0.000000, 435, 0
36, 515, 0.000000, 462, 0
37, 515, 0.000000, 566, 0
38, 515, 0.000000, 504, 0
39, 515, 0.000000, 646, 0
40, 516, 0.000000, 628, 0
41, 516, 0.000000, 496, 0
42, 516, 0.000000, 564, 0
43, 517, 0.000000, 681, 0
44, 518, 0.000000, 586, 0
45, 518, 0.000000, 544, 0
46, 519, 0.000000, 578, 0
47, 519, 0.000000, 728, 0
48, 520, 0.000000, 647, 0
49, 521, 0.000000, 626, 0
50, 521, 0.000000, 703, 0
51, 522, 0.000000, 687, 0
52, 522, 0.000000, 636, 0
53, 522, 0.000000, 787, 0
54, 522, 0.000000, 607, 0
55, 523, 0.000000, 640, 0
56, 523, 0.000000, 645, 0
57, 523, 0.000000, 748, 0
58, 523, 0.000000, 561, 0
59, 524, 0.000000, 560, 0
60, 524, 0.000000, 544, 0
61, 525, 0.000000, 686, 0
62, 526, 0.000000, 621, 0
63, 527, 0.000000, 564, 0
64, 527, 0.000000, 579, 0
65, 527, 0.000000, 778, 0
66, 527, 0.000000, 624, 0
67, 527, 0.000000, 693, 0
68, 527, 0.000000, 725, 0
69, 527, 0.000000, 581, 0
70, 528, 0.000000, 658, 0
71, 528, 0.000000, 600, 0
72, 528, 0.000000, 718, 0
73, 528, 0.000000, 675, 0
74, 528, 0.000000, 686, 0
75, 529, 0.000000, 822, 0
76, 529, 0.000000, 760, 0
77, 529, 0.000000, 700, 0
78, 529, 0.000000, 824, 0
79, 529, 0.000000, 610, 0
80, 530, 0.000000, 656, 0
81, 530, 0.000000, 693, 0
82, 531, 0.000000, 886, 0
83, 532, 0.000000, 694, 0
84, 533, 0.000000, 728, 0
85, 533, 0.000000, 846, 0
86, 534, 0.000000, 827, 0
87, 535, 0.000000, 786, 0
88, 535, 0.000000, 902, 0
89, 536, 0.000000, 702, 0
90, 537, 0.000000, 782, 0
91, 538, 0.000000, 860, 0
92, 538, 0.000000, 709, 0
93, 539, 0.000000, 783, 0
94, 540, 0.000000, 961, 0
95, 540, 0.000000, 693, 0
96, 540, 0.000000, 747, 0
97, 540, 0.000000, 894, 0
98, 541, 0.000000, 834, 0
99, 542, 0.000000, 922, 0
100, 542, 0.000000, 851, 0
101, 542, 0.000000, 911, 0
102, 543, 0.000000, 856, 0
103, 543, 0.000000, 848, 0
104, 543, 0.000000, 822, 0
105, 543, 0.000000, 916, 0
106, 543, 0.000000, 771, 0
107, 544, 0.000000, 861, 0
108, 545, 0.000000, 868, 0
109, 546, 0.000000, 852, 0
