Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found
0, 500, 19.622563, 393, 0
1, 501, 17.487900, 417, 0
2, 501, 16.084776, 534, 0
3, 502, 13.831854, 428, 0
4, 502, 12.352781, 441, 0
5, 503, 11.154813, 433, 0
6, 503, 9.953721, 498, 0
7, 503, 9.628500, 440, 0
8, 504, 8.609682, 401, 0
9, 504, 7.925598, 543, 0
10, 505, 8.211099, 542, 0
11, 505, 7.742663, 515, 0
12, 505, 7.880833, 531, 0
13, 506, 7.935735, 483, 0
14, 506, 8.216762, 493, 0
15, 507, 8.296813, 528, 0
16, 508, 7.993229, 515, 0
17, 508, 7.649488, 583, 0
18, 509, 7.175459, 612, 0
19, 509, 7.456445, 634, 0
20, 509, 7.542734, 555, 0
21, 509, 7.668718, 502, 0
22, 509, 7.270574, 672, 0
23, 510, 7.964252, 526, 0
24, 510, 7.296959, 639, 0
25, 511, 7.367253, 666, 0
26, 511, 7.092672, 608, 0
27, 512, 7.268122, 636, 0
28, 513, 7.609138, 665, 0
29, 513, 6.805128, 763, 0
30, 514, 7.475311, 700, 0
31, 515, 6.863942, 656, 0
32, 515, 7.123090, 733, 0
33, 516, 7.216288, 619, 0
34, 517, 7.525574, 665, 0
35, 518, 7.312458, 758, 0
36, 518, 7.105017, 930, 0
37, 518, 7.494542, 721, 0
38, 519, 7.416999, 720, 0
39, 519, 6.820941, 854, 0
40, 520, 7.461988, 736, 0
41, 520, 6.642803, 832, 0
42, 521, 7.147149, 912, 0
43, 521, 7.178618, 781, 0
44, 521, 6.630291, 720, 0
45, 521, 6.973612, 852, 0
46, 522, 7.089226, 663, 0
47, 522, 7.023268, 798, 0
48, 523, 6.898533, 968, 0
49, 523, 7.062865, 725, 0
50, 523, 6.684034, 764, 0
51, 524, 6.884671, 930, 0
52, 524, 6.980812, 834, 0
53, 524, 7.117484, 657, 0
54, 525, 6.845430, 756, 0
55, 525, 6.933939, 868, 0
56, 525, 6.662884, 884, 0
57, 525, 6.485697, 835, 0
58, 526, 6.711753, 866, 0
59, 526, 6.664463, 870, 0
60, 527, 6.599678, 836, 0
61, 528, 6.969055, 784, 0
62, 528, 6.751459, 919, 0
63, 529, 6.459971, 858, 0
64, 529, 6.603986, 892, 0
65, 529, 6.506033, 771, 0
66, 530, 6.583935, 867, 0
67, 531, 6.342500, 925, 0
68, 531, 6.339963, 843, 0
69, 532, 6.174958, 994, 0
70, 532, 6.361718, 945, 0
71, 533, 6.530195, 872, 0
