Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found
0, 500, 21.178963, 453, 0
1, 500, 21.183464, 466, 0
2, 500, 21.175650, 470, 0
3, 501, 21.170664, 377, 0
4, 501, 21.176305, 445, 0
5, 502, 21.214229, 312, 0
6, 503, 21.236632, 325, 0
7, 503, 21.299096, 403, 0
8, 503, 21.303476, 443, 0
9, 504, 21.262888, 317, 0
10, 504, 21.282360, 342, 0
11, 504, 21.281497, 353, 0
12, 504, 21.280309, 302, 0
13, 504, 21.295400, 314, 0
14, 504, 21.327617, 291, 0
15, 505, 21.306786, 276, 0
16, 505, 21.340612, 274, 0
17, 506, 21.334538, 327, 0
18, 506, 21.321977, 344, 0
19, 507, 21.305541, 359, 0
20, 507, 21.342863, 394, 0
21, 507, 21.247057, 307, 0
22, 507, 21.221506, 374, 0
23, 508, 21.211360, 471, 0
24, 509, 21.204699, 265, 0
25, 509, 21.183025, 242, 0
26, 510, 21.185334, 296, 0
27, 511, 21.202499, 303, 0
28, 512, 21.199821, 290, 0
29, 512, 21.220492, 274, 0
30, 513, 21.226626, 231, 0
31, 514, 21.245687, 271, 0
32, 515, 21.237931, 323, 0
33, 516, 21.306013, 232, 0
34, 517, 21.311895, 298, 0
35, 517, 21.294473, 306, 0
36, 518, 21.329787, 214, 0
37, 518, 21.325585, 254, 0
38, 518, 21.287101, 296, 0
39, 519, 21.283825, 264, 0
40, 519, 21.258100, 268, 0
41, 520, 21.250688, 316, 0
42, 520, 21.259093, 218, 0
43, 520, 21.219340, 267, 0
44, 520, 21.224465, 291, 0
45, 521, 21.220927, 276, 0
46, 522, 21.191182, 445, 0
47, 522, 21.202694, 357, 0
48, 523, 21.243501, 273, 0
49, 523, 21.263232, 361, 0
50, 523, 21.257190, 319, 0
51, 523, 21.272791, 234, 0
52, 524, 21.206237, 195, 0
53, 525, 21.207426, 227, 0
54, 526, 21.274796, 263, 0
55, 527, 21.294889, 254, 0
56, 527, 21.264339, 204, 0
57, 528, 21.267975, 213, 0
58, 528, 21.264659, 287, 0
59, 528, 21.260541, 247, 0
60, 529, 21.218746, 210, 0
61, 529, 21.299495, 267, 0
62, 529, 21.309610, 260, 0
63, 530, 21.315306, 208, 0
64, 531, 21.362953, 237, 0
65, 532, 21.281748, 291, 0
66, 532, 21.323151, 190, 0
67, 533, 21.340499, 207, 0
68, 534, 21.350111, 210, 0
69, 534, 21.369231, 343, 0
70, 534, 21.376781, 205, 0
71, 534, 21.354516, 201, 0
72, 535, 21.309945, 295, 0
73, 536, 21.313237, 310, 0
74, 536, 21.295571, 221, 0
75, 537, 21.226541, 336, 0
76, 537, 21.211682, 304, 0
77, 538, 21.233319, 231, 0
78, 539, 21.229125, 208, 0
79, 540, 21.217176, 321, 0
80, 540, 21.242110, 246, 0
81, 541, 21.247138, 200, 0
82, 541, 21.274290, 235, 0
83, 541, 21.252210, 277, 0
84, 541, 21.227036, 245, 0
85, 542, 21.215397, 289, 0
86, 542, 21.248242, 263, 0
87, 542, 21.292078, 187, 0
88, 543, 21.274986, 220, 0
89, 544, 21.247965, 281, 0
90, 544, 21.263807, 200, 0
91, 544, 21.277495, 203, 0
92, 544, 21.257547, 275, 0
93, 545, 21.211740, 259, 0
94, 546, 21.245657, 183, 0
95, 546, 21.271643, 267, 0
96, 546, 21.289639, 181, 0
97, 546, 21.260417, 256, 0
98, 546, 21.305148, 267, 0
99, 546, 21.288080, 268, 0
100, 546, 21.287128, 262, 0
101, 546, 21.241138, 247, 0
102, 547, 21.233183, 230, 0
103, 548, 21.267110, 283, 0
104, 548, 21.271093, 190, 0
105, 548, 21.210301, 281, 0
106, 548, 21.229211, 210, 0
107, 548, 21.206985, 239, 0
108, 548, 21.232548, 238, 0
109, 548, 21.215368, 243, 0
110, 549, 21.287267, 267, 0
111, 550, 21.274262, 204, 0
112, 550, 21.258224, 182, 0
113, 550, 21.265559, 247, 0
114, 550, 21.291331, 218, 0
115, 551, 21.287077, 297, 0
116, 552, 21.320089, 235, 0
117, 552, 21.270363, 294, 0
118, 552, 21.283406, 241, 0
119, 552, 21.274107, 264, 0
120, 552, 21.323942, 264, 0
121, 552, 21.308364, 239, 0
122, 552, 21.300913, 247, 0
123, 552, 21.308279, 207, 0
124, 552, 21.266999, 233, 0
125, 552, 21.231956, 241, 0
126, 553, 21.190522, 212, 0
127, 554, 21.273093, 232, 0
128, 554, 21.309137, 244, 0
129, 554, 21.331420, 263, 0
130, 555, 21.359524, 252, 0
131, 556, 21.335374, 261, 0
132, 556, 21.313923, 175, 0
133, 556, 21.303513, 251, 0
134, 556, 21.305006, 251, 0
135, 556, 21.362548, 198, 0
136, 556, 21.272257, 287, 0
137, 556, 21.261148, 290, 0
138, 556, 21.279124, 205, 0
139, 557, 21.294333, 271, 0
140, 558, 21.308639, 277, 0
141, 558, 21.301247, 259, 0
142, 558, 21.279334, 221, 0
143, 558, 21.347837, 276, 0
144, 558, 21.320484, 213, 0
145, 558, 21.302840, 300, 0
146, 558, 21.301357, 223, 0
147, 558, 21.301235, 191, 0
148, 558, 21.317847, 315, 0
149, 558, 21.302668, 227, 0
150, 558, 21.217441, 343, 0
151, 558, 21.268532, 346, 0
152, 558, 21.235279, 281, 0
153, 558, 21.285603, 330, 0
154, 558, 21.265475, 190, 0
155, 558, 21.338414, 279, 0
156, 559, 21.300749, 259, 0
157, 560, 21.323875, 279, 0
158, 560, 21.305007, 236, 0
159, 560, 21.352621, 259, 0
160, 560, 21.342604, 209, 0
161, 560, 21.295714, 288, 0
162, 560, 21.309843, 275, 0
163, 560, 21.275574, 173, 0
164, 560, 21.295146, 264, 0
165, 560, 21.246096, 188, 0
166, 560, 21.264461, 281, 0
167, 560, 21.285618, 317, 0
168, 560, 21.342755, 240, 0
169, 560, 21.309865, 261, 0
170, 560, 21.258555, 202, 0
171, 561, 21.305749, 304, 0
172, 562, 21.287625, 300, 0
173, 562, 21.332903, 250, 0
174, 562, 21.269048, 258, 0
175, 562, 21.260504, 370, 0
176, 562, 21.288334, 196, 0
177, 563, 21.231334, 269, 0
178, 564, 21.284035, 211, 0
179, 564, 21.270370, 239, 0
180, 564, 21.309736, 318, 0
181, 564, 21.266225, 304, 0
182, 565, 21.289988, 237, 0
183, 565, 21.304871, 318, 0
184, 566, 21.286410, 196, 0
185, 566, 21.272916, 288, 0
186, 566, 21.284775, 181, 0
187, 566, 21.243006, 308, 0
188, 567, 21.246585, 346, 0
189, 568, 21.262528, 218, 0
190, 568, 21.287306, 270, 0
191, 568, 21.246134, 294, 0
192, 568, 21.207205, 221, 0
193, 568, 21.210190, 233, 0
194, 568, 21.248081, 252, 0
195, 569, 21.238791, 266, 0
196, 570, 21.248016, 304, 0
197, 570, 21.270467, 240, 0
198, 570, 21.274099, 267, 0
