Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 24.358071, 417, 0, 28.323383
1, 356, 23.985912, 514, 0, 28.218427
2, 432, 23.789642, 517, 0, 28.239647
3, 474, 23.920488, 520, 0, 27.764098
4, 520, 23.597121, 740, 0, 27.342795
5, 572, 23.572129, 743, 0, 28.131649
6, 598, 23.659577, 634, 0, 27.635532
7, 636, 23.442761, 668, 0, 28.154368
8, 682, 23.195065, 679, 0, 28.154207
9, 712, 23.289321, 1040, 0, 28.245037
10, 744, 23.337749, 736, 0, 28.038241
11, 770, 23.196337, 778, 0, 28.124356
12, 812, 23.246328, 935, 0, 27.867521
13, 868, 23.157614, 1094, 0, 27.342195
14, 924, 23.282468, 1089, 0, 27.928642
15, 966, 23.131235, 1186, 0, 28.287090
16, 1056, 23.344010, 1401, 0, 28.229279
17, 1120, 23.294623, 1268, 0, 28.374386
18, 1218, 23.159228, 1320, 0, 28.142220
19, 1258, 23.117460, 1573, 0, 28.058887
20, 1318, 23.277061, 1414, 0, 28.012668
21, 1392, 23.259713, 1571, 0, 28.376608
22, 1430, 23.440300, 1527, 0, 27.954166
23, 1454, 23.352794, 1774, 0, 27.798777
24, 1480, 23.577036, 1625, 0, 28.175078
25, 1546, 23.540573, 1808, 0, 28.222908
26, 1614, 23.446307, 1635, 0, 28.139014
27, 1640, 23.552000, 1951, 0, 28.073695
28, 1674, 23.446768, 1738, 0, 27.858265
29, 1744, 23.491350, 1967, 0, 28.050017
30, 1776, 23.345856, 1848, 0, 28.108706
31, 1818, 23.497280, 2145, 0, 28.107221
32, 1932, 23.427916, 2072, 0, 28.491572
33, 1984, 23.652189, 2318, 0, 28.583606
34, 2024, 23.307803, 2395, 0, 28.110816
35, 2082, 23.327304, 2315, 0, 27.947195
36, 2100, 23.392194, 2504, 0, 28.079349
37, 2118, 23.415351, 2557, 0, 27.915605
38, 2128, 23.198251, 2347, 0, 28.027048
39, 2136, 23.312473, 2454, 0, 27.999745
40, 2156, 23.273100, 2209, 0, 27.999030
41, 2140, 23.393732, 2534, 0, 28.369497
42, 2184, 23.167889, 2417, 0, 28.163185
43, 2246, 23.225990, 2442, 0, 28.051577
44, 2286, 23.419393, 2634, 0, 28.279695
45, 2296, 23.320729, 2576, 0, 28.410043
46, 2312, 23.284646, 2611, 0, 27.975256
47, 2288, 23.084209, 2511, 0, 28.115911
48, 2308, 23.288032, 2510, 0, 28.329622
49, 2296, 23.087002, 2614, 0, 28.393708
50, 2310, 23.429855, 2317, 0, 28.275556
51, 2316, 23.136173, 2571, 0, 28.039339
52, 2350, 23.276097, 2580, 0, 28.094869
53, 2372, 23.250156, 2478, 0, 28.333159
54, 2382, 23.459057, 2558, 0, 28.122057
55, 2408, 23.499344, 2726, 0, 27.950225
56, 2390, 23.390011, 2807, 0, 27.819585
57, 2394, 23.487914, 2501, 0, 27.910799
58, 2400, 23.319982, 2912, 0, 28.055243
59, 2378, 23.441737, 2884, 0, 28.276355
60, 2398, 23.403098, 2669, 0, 28.450551
61, 2406, 23.315151, 2705, 0, 28.725126
62, 2418, 23.336523, 2826, 0, 28.926074
63, 2434, 23.270090, 2920, 0, 28.304409
64, 2422, 23.236780, 2348, 0, 28.253806
65, 2422, 23.296503, 2416, 0, 28.000842
66, 2390, 23.267211, 2424, 0, 28.135139
67, 2392, 23.362715, 2422, 0, 28.141837
68, 2408, 23.168456, 2386, 0, 28.456218
69, 2444, 23.215751, 2447, 0, 28.453475
70, 2464, 23.141258, 2619, 0, 28.343923
71, 2480, 23.229882, 2534, 0, 28.264670
72, 2484, 23.222075, 2664, 0, 28.290565
73, 2488, 23.503038, 2791, 0, 28.082247
74, 2474, 23.416480, 2587, 0, 28.210264
75, 2500, 23.265946, 2773, 0, 28.245958
76, 2518, 23.120117, 2648, 0, 28.485615
77, 2562, 22.904956, 3367, 0, 28.200900
78, 2562, 23.146696, 3144, 0, 28.197154
79, 2588, 22.978797, 3151, 0, 28.340711
80, 2634, 22.774264, 2678, 0, 27.983703
81, 2628, 22.662780, 2898, 0, 27.847940
82, 2642, 22.702198, 2682, 0, 28.143923
83, 2656, 22.940047, 2703, 0, 28.467444
84, 2678, 22.699459, 3195, 0, 28.076719
85, 2702, 22.530941, 2988, 0, 27.984765
86, 2670, 22.684162, 2890, 0, 27.851174
87, 2700, 22.626023, 2905, 0, 28.061704
88, 2704, 22.555585, 2972, 0, 28.189949
89, 2740, 22.712925, 2943, 0, 28.044023
90, 2742, 22.566316, 3122, 0, 27.955028
91, 2758, 22.616067, 3120, 0, 28.362030
92, 2802, 22.471601, 3144, 0, 28.609997
93, 2812, 22.266610, 3152, 0, 28.303390
94, 2816, 22.359187, 3295, 0, 28.501422
95, 2822, 22.378120, 3385, 0, 28.181537
96, 2852, 22.455338, 3081, 0, 28.249728
97, 2826, 22.248636, 3188, 0, 28.376888
98, 2880, 22.459314, 3707, 0, 28.205767
99, 2864, 22.205540, 3601, 0, 28.190311
100, 2890, 22.342065, 3570, 0, 28.210614
101, 2912, 22.380160, 3414, 0, 28.025670
102, 2922, 22.206979, 3462, 0, 28.651268
103, 2940, 22.144328, , 1, 28.395715
