Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 9.376679, 194, 0, 28.459396
1, 172, 11.012284, 156, 0, 28.545432
2, 194, 10.929934, 164, 0, 28.437271
3, 210, 11.432277, 171, 0, 27.922270
4, 222, 11.883738, 203, 0, 27.999417
5, 230, 11.353229, 191, 0, 28.112623
6, 238, 11.880063, 218, 0, 28.056331
7, 244, 11.756873, 220, 0, 29.106883
8, 258, 11.686728, 243, 0, 29.528201
9, 274, 12.087865, 240, 0, 29.169483
10, 284, 12.164376, 255, 0, 28.356721
11, 282, 12.173061, 242, 0, 29.102261
12, 280, 12.169359, 263, 0, 28.308440
13, 282, 12.456873, 260, 0, 27.925097
14, 298, 12.141804, 253, 0, 27.812038
15, 306, 12.347064, 263, 0, 28.098687
16, 312, 12.486654, 282, 0, 27.747005
17, 332, 12.938908, 293, 0, 27.218546
18, 350, 13.145725, 323, 0, 27.895240
19, 380, 12.896803, 335, 0, 28.395411
20, 384, 12.867387, 346, 0, 28.042504
21, 398, 13.097868, 366, 0, 27.599786
22, 412, 12.842702, 350, 0, 27.428250
23, 402, 12.244739, 348, 0, 27.598545
24, 418, 12.240086, 374, 0, 27.598032
25, 434, 12.792386, 370, 0, 27.614636
26, 450, 13.071580, 415, 0, 27.525751
27, 478, 13.042173, 447, 0, 27.086072
28, 508, 12.623666, 454, 0, 28.044988
29, 516, 12.799566, 472, 0, 26.954254
30, 516, 12.668125, 458, 0, 27.748393
31, 502, 12.723876, 446, 0, 27.903747
32, 512, 12.573114, 455, 0, 27.799446
33, 506, 12.973356, 447, 0, 27.812868
34, 512, 12.817382, 446, 0, 27.250287
35, 524, 12.775325, 490, 0, 28.048695
36, 536, 12.783070, 488, 0, 28.218651
37, 518, 13.090983, 469, 0, 28.065236
38, 550, 12.865766, 500, 0, 28.209120
39, 550, 13.162913, 477, 0, 28.029601
40, 556, 13.518884, 503, 0, 28.104322
41, 570, 13.428295, 495, 0, 28.551915
42, 564, 13.360386, 492, 0, 28.039404
43, 564, 13.606192, 489, 0, 27.937859
44, 588, 13.655855, 514, 0, 27.854744
45, 596, 13.587044, 499, 0, 28.544724
46, 606, 13.578922, 552, 0, 28.385015
47, 632, 13.720913, 572, 0, 28.674825
48, 638, 13.863580, 573, 0, 28.158376
49, 642, 13.584244, 555, 0, 28.237230
50, 624, 13.472157, 550, 0, 27.476881
51, 638, 13.621568, 557, 0, 27.578784
52, 636, 13.996083, 564, 0, 28.556182
53, 642, 14.073881, 566, 0, 28.427030
54, 646, 13.948785, 589, 0, 28.668184
55, 660, 13.928511, 587, 0, 28.366824
56, 666, 14.100467, 591, 0, 28.000141
57, 680, 13.704240, 583, 0, 28.502315
58, 678, 13.936446, 607, 0, 28.444727
59, 674, 14.028324, 591, 0, 27.776146
60, 676, 14.026111, 603, 0, 28.578768
61, 678, 14.222432, 616, 0, 28.787602
62, 688, 14.642654, 629, 0, 28.734454
63, 692, 14.141971, 641, 0, 28.239314
64, 688, 14.326769, 635, 0, 28.532650
65, 720, 14.335457, 684, 0, 29.033396
66, 728, 14.309265, 701, 0, 28.697149
67, 734, 14.075033, 669, 0, 28.858142
68, 716, 14.374111, 681, 0, 28.424014
69, 722, 14.602683, 663, 0, 28.667065
70, 716, 14.262565, 657, 0, 28.510803
71, 706, 14.635900, 663, 0, 28.387059
72, 708, 14.180633, 686, 0, 28.716768
73, 708, 14.470637, 673, 0, 28.199360
74, 730, 14.306824, 663, 0, 28.681954
75, 736, 14.322516, 690, 0, 28.634066
76, 750, 14.633719, 664, 0, 28.136424
77, 742, 14.563392, 685, 0, 28.048962
78, 756, 14.193823, 687, 0, 28.546591
79, 758, 14.292580, 695, 0, 28.171772
80, 762, 14.544223, 673, 0, 28.655505
81, 748, 14.415626, 684, 0, 28.841542
82, 752, 14.631432, 689, 0, 28.723049
83, 772, 14.933516, 714, 0, 28.454401
84, 776, 14.518845, 695, 0, 27.686881
85, 770, 14.657019, 696, 0, 27.319884
86, 788, 14.493378, 701, 0, 27.143444
87, 786, 14.706857, 709, 0, 27.801442
88, 774, 14.797511, 722, 0, 28.137715
89, 796, 14.198209, 689, 0, 28.481625
90, 784, 14.661399, 712, 0, 28.675189
91, 780, 14.616407, 731, 0, 28.585660
92, 800, 14.724309, 725, 0, 27.668850
93, 812, 14.755296, 725, 0, 28.743865
94, 794, 14.732775, 719, 0, 28.228982
95, 790, 14.881270, 712, 0, 28.045696
96, 790, 14.662643, 725, 0, 28.382453
97, 776, 14.884997, 725, 0, 27.909769
98, 790, 14.829337, 747, 0, 28.173191
99, 818, 14.672598, 729, 0, 27.978460
100, 810, 15.121087, 724, 0, 28.004521
101, 820, 14.516310, 735, 0, 28.444755
102, 806, 14.829158, 754, 0, 28.114425
103, 836, 15.203989, 740, 0, 27.702681
104, 836, 15.090730, 752, 0, 27.872892
105, 844, 14.875858, 718, 0, 27.805882
106, 826, 15.029621, 727, 0, 28.656321
107, 812, 14.945511, 748, 0, 28.565048
108, 830, 15.231957, 758, 0, 28.255633
109, 834, 14.862278, 749, 0, 28.471404
110, 816, 15.230993, 721, 0, 28.570517
111, 818, 14.912268, 711, 0, 28.102073
112, 812, 14.823909, 730, 0, 27.869479
113, 810, 15.123505, 730, 0, 28.240262
114, 804, 14.809303, 692, 0, 28.054806
115, 792, 15.233966, 741, 0, 28.113636
116, 798, 15.373131, 742, 0, 28.022065
117, 800, 14.956900, 730, 0, 28.333264
118, 796, 15.408113, 720, 0, 28.544402
119, 800, 15.017978, 708, 0, 29.027956
120, 796, 15.074777, 688, 0, 28.702727
121, 786, 15.316811, 706, 0, 28.569746
122, 810, 14.867270, 705, 0, 28.013075
123, 800, 15.053965, 708, 0, 28.090082
124, 802, 14.919422, 679, 0, 27.988759
125, 784, 15.205241, 684, 0, 28.195789
126, 790, 14.691011, 676, 0, 28.189977
127, 798, 14.998566, 704, 0, 28.564015
128, 810, 15.205401, 687, 0, 28.685614
129, 806, 15.284783, 708, 0, 28.143755
130, 816, 15.315975, 705, 0, 28.109827
131, 830, 15.077997, 722, 0, 28.141267
132, 840, 15.201116, 735, 0, 28.199908
133, 844, 15.351222, 741, 0, 28.416172
134, 862, 15.243747, 733, 0, 28.083145
135, 860, 15.548557, 749, 0, 28.405018
136, 864, 15.507076, 772, 0, 28.406856
137, 876, 15.414970, 759, 0, 28.323224
138, 880, 15.461441, 738, 0, 28.532472
139, 860, 15.613222, 763, 0, 28.164324
140, 860, 15.755189, 727, 0, 28.309010
141, 854, 15.199634, 747, 0, 28.176199
142, 876, 15.640116, 739, 0, 27.924390
143, 852, 15.491140, 732, 0, 28.397095
144, 872, 15.361083, 722, 0, 28.850772
145, 870, 15.147149, 726, 0, 28.266407
146, 880, 15.522565, 716, 0, 28.347959
147, 866, 15.852232, 710, 0, 28.381025
148, 872, 15.681808, 714, 0, 28.707366
149, 866, 15.655480, 739, 0, 28.543209
150, 872, 15.723942, 723, 0, 28.923152
151, 882, 15.408995, 736, 0, 27.643646
152, 892, 15.440321, 742, 0, 27.972810
153, 884, 15.826192, 748, 0, 27.952701
154, 906, 15.856003, 782, 0, 28.450182
155, 920, 15.886866, 766, 0, 28.440433
156, 920, 15.824060, 763, 0, 28.642247
157, 900, 15.691189, 744, 0, 28.741220
158, 892, 15.669196, 746, 0, 28.809628
159, 894, 15.960628, 757, 0, 28.614002
160, 906, 15.595831, 749, 0, 27.723189
161, 892, 15.818263, 767, 0, 28.101143
162, 910, 15.515500, 764, 0, 28.093993
163, 904, 15.463184, 750, 0, 28.166280
164, 882, 15.592305, 737, 0, 28.168572
165, 894, 15.490871, 763, 0, 28.453633
166, 896, 15.589631, 733, 0, 28.210192
167, 876, 15.334584, 736, 0, 27.708226
168, 894, 15.549805, 778, 0, 27.839159
169, 900, 15.613892, 755, 0, 27.839071
170, 900, 15.891113, 759, 0, 28.010704
171, 908, 15.509839, 769, 0, 27.980313
172, 894, 15.213950, 769, 0, 27.767472
173, 912, 15.397014, 794, 0, 28.045777
174, 920, 15.601546, 777, 0, 27.732442
175, 908, 15.589117, 778, 0, 28.044395
176, 922, 15.592713, 764, 0, 28.622668
177, 918, 15.624523, 774, 0, 28.382784
178, 906, 15.683578, 752, 0, 28.589889
179, 894, 15.702690, 754, 0, 28.476751
180, 900, 15.747811, 793, 0, 28.093284
181, 930, 15.664123, 830, 0, 28.604582
182, 934, 15.284316, 844, 0, 28.225776
183, 926, 15.384311, 836, 0, 28.890358
184, 934, 15.583835, 820, 0, 28.862383
185, 934, 15.439568, 813, 0, 28.871703
186, 916, 15.805937, 812, 0, 28.641933
187, 922, 15.995917, 800, 0, 28.719713
188, 924, 15.704828, 813, 0, 28.228309
