Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 31.234730, 242, 0, 26.764116
1, 168, 32.436741, 204, 0, 21.995190
2, 198, 31.859145, 252, 0, 17.663188
3, 234, 31.929020, 311, 0, 16.528025
4, 258, 31.843004, 303, 0, 15.789561
5, 294, 31.003448, 455, 0, 15.348588
6, 344, 30.398971, 404, 0, 15.859321
7, 396, 29.862590, 526, 0, 14.812601
8, 468, 29.245091, 551, 0, 14.965757
9, 550, 29.057730, 897, 0, 15.033991
10, 620, 28.741073, 745, 0, 14.658284
11, 686, 28.691270, 1061, 0, 14.393727
12, 746, 28.721169, 874, 0, 14.385066
13, 810, 28.714440, 1059, 0, 14.372613
14, 844, 28.058115, , 1, 14.096162
