Generation, Population Size, Average Generation Fitness, Generation Time (ms), Solution Found, Average Choosiness
0, 500, 23.838813, 157, 0, 28.370244
1, 126, 23.903248, 120, 0, 21.951303
2, 132, 23.796681, 126, 0, 19.447964
3, 146, 24.045392, 136, 0, 17.730434
4, 150, 24.062179, 135, 0, 16.266459
5, 174, 24.162744, 160, 0, 15.675770
6, 186, 24.331534, 168, 0, 14.799533
7, 204, 24.138013, 199, 0, 13.506878
8, 228, 24.473814, 196, 0, 12.830238
9, 242, 24.456037, 213, 0, 13.377356
10, 266, 24.511313, 217, 0, 14.660259
11, 264, 24.459130, 212, 0, 14.360813
12, 270, 24.347682, 217, 0, 15.002028
13, 272, 24.063970, 223, 0, 14.681497
14, 280, 23.812922, 256, 0, 14.822216
15, 300, 23.931309, 255, 0, 15.089874
16, 312, 23.937691, 275, 0, 15.274822
17, 324, 23.838584, 263, 0, 15.406066
18, 322, 23.627340, 299, 0, 14.061104
19, 352, 23.582281, 293, 0, 14.900752
20, 348, 23.283691, 311, 0, 14.906948
21, 362, 23.279925, 318, 0, 14.788699
22, 380, 23.099391, 360, 0, 14.931932
23, 400, 22.990813, 353, 0, 15.464617
24, 408, 22.755324, 391, 0, 15.299699
25, 422, 22.127317, 375, 0, 15.184550
26, 440, 22.350489, 401, 0, 14.162017
27, 472, 22.269158, 415, 0, 14.653787
28, 488, 22.122742, 468, 0, 15.166715
29, 532, 22.254535, 497, 0, 14.974311
30, 536, 21.923057, 519, 0, 14.658615
31, 574, 21.952365, 557, 0, 14.833047
32, 622, 22.094553, 576, 0, 14.580160
33, 638, 21.751794, , 1, 15.154326
